State,County,Diabetes Estimate
Washington,Whitman County,2186.3
Alabama,Pickens County,2190.2
Colorado,Delta County,2196.4
Minnesota,Freeborn County,2196.7
Vermont,Orange County,2197.6
Alabama,Butler County,2199.4
Kentucky,Logan County,2200.2
Virginia,Goochland County,2200.7
Alabama,Barbour County,2200.8
Mississippi,Winston County,2207
West Virginia,Upshur County,2207.7
Florida,Taylor County,2211.5
Mississippi,Coahoma County,2213
Indiana,Daviess County,2216.2
Texas,San Jacinto County,2221.9
Virginia,Rockbridge County,2228.2
Indiana,White County,2237.2
Missouri,Laclede County,2238.8
Illinois,Morgan County,2243
Oregon,Malheur County,2244.3
Tennessee,Hardeman County,2248
Missouri,Benton County,2249.3
Alabama,Macon County,2254.8
Michigan,Roscommon County,2254.8
Tennessee,Weakley County,2254.9
Kansas,Harvey County,2259.4
Texas,Fannin County,2262.5
Arkansas,Johnson County,2263.2
Washington,Asotin County,2263.7
Texas,Aransas County,2269.4
Illinois,Lee County,2271.3
Virginia,Powhatan County,2276.2
Florida,Madison County,2277.8
Georgia,Butts County,2279.7
Arkansas,Ouachita County,2280.1
Virginia,Manassas City,2281.1
Missouri,Randolph County,2282.5
New Mexico,Luna County,2282.6
Georgia,Hart County,2285
Kentucky,Perry County,2286.3
Georgia,Peach County,2291.6
West Virginia,Lincoln County,2293.5
Indiana,Clay County,2297.2
Alabama,Clarke County,2298.8
Kentucky,Knox County,2299.4
Kansas,Ford County,2301
Michigan,Houghton County,2301.7
West Virginia,Wyoming County,2304.8
Tennessee,Macon County,2307.4
Georgia,Monroe County,2307.7
Georgia,Lee County,2316.1
Arkansas,Cleburne County,2316.5
Illinois,Clinton County,2318.3
Michigan,Emmet County,2320.8
Iowa,Boone County,2321.4
Ohio,Holmes County,2324
Mississippi,Clay County,2334.8
Kansas,Crawford County,2337.8
Georgia,Madison County,2339.1
Texas,Austin County,2339.4
Oregon,Union County,2339.9
Ohio,Putnam County,2340.4
Indiana,Gibson County,2341.7
Indiana,Jefferson County,2342.1
Tennessee,Carroll County,2350.8
West Virginia,Mcdowell County,2353.1
Kansas,Mcpherson County,2353.5
Wisconsin,Door County,2354.8
Georgia,Decatur County,2355.3
Missouri,Pulaski County,2356.9
Iowa,Marion County,2359.8
Mississippi,Copiah County,2362.7
Wyoming,Sweetwater County,2368.3
Oregon,Curry County,2369.3
Mississippi,Itawamba County,2371.8
Illinois,Fulton County,2373.9
Missouri,Marion County,2374.8
New York,Lewis County,2377.2
Florida,Holmes County,2380
Michigan,Gladwin County,2380.9
Georgia,Grady County,2381.4
Texas,Chambers County,2387.3
Texas,Val Verde County,2387.7
Georgia,Bryan County,2388.7
Colorado,Eagle County,2388.8
Missouri,Polk County,2397.6
Illinois,Woodford County,2400.8
Kansas,Finney County,2404.5
Illinois,Jefferson County,2405.3
Indiana,Lagrange County,2407.3
Texas,Washington County,2409.8
Idaho,Latah County,2412.1
Minnesota,Cass County,2412.1
Illinois,Christian County,2413.7
Indiana,Jasper County,2415
Virginia,Charlottesville City,2417.3
Minnesota,Kandiyohi County,2422.7
Indiana,Clinton County,2423.2
Minnesota,Douglas County,2423.2
Georgia,White County,2425.2
New Mexico,Taos County,2425.7
New York,Yates County,2427.4
Minnesota,Becker County,2428.6
Arkansas,Carroll County,2433.3
South Carolina,Fairfield County,2444
Texas,Cooke County,2446.7
Indiana,Whitley County,2447.4
Illinois,Bureau County,2452.4
Kansas,Miami County,2452.6
Pennsylvania,Wyoming County,2454.3
Arkansas,St. Francis County,2459.7
Vermont,Windham County,2465.4
Pennsylvania,Elk County,2467.8
Michigan,Mason County,2476.7
Washington,Pacific County,2483
Minnesota,Mcleod County,2483.1
Wisconsin,Marinette County,2483.8
Alabama,Marion County,2485.1
Texas,Hopkins County,2487.8
Indiana,Decatur County,2488.3
Kansas,Barton County,2488.4
Mississippi,Leflore County,2489.9
South Carolina,Abbeville County,2491.6
Utah,Uintah County,2496.5
Michigan,Alpena County,2502.9
Wyoming,Campbell County,2504.2
Minnesota,Polk County,2512.7
Michigan,Cheboygan County,2514.1
Indiana,Jennings County,2517.3
Louisiana,De Soto Parish,2519.9
Texas,Upshur County,2520.4
Tennessee,Lincoln County,2520.7
Florida,Hardee County,2522.8
Minnesota,Steele County,2525.2
Ohio,Meigs County,2526.9
North Carolina,Ashe County,2527.2
New York,Schoharie County,2531.8
Oklahoma,Mcclain County,2532.4
North Carolina,Dare County,2539.3
South Carolina,Dillon County,2539.7
Georgia,Fannin County,2540.2
Mississippi,Sunflower County,2549.5
Maryland,Somerset County,2553.9
Oklahoma,Ottawa County,2561.6
Nebraska,Platte County,2561.7
Ohio,Hardin County,2563.7
West Virginia,Brooke County,2565.7
Ohio,Perry County,2570.9
Missouri,Warren County,2571
Kentucky,Boyle County,2576.9
Tennessee,Marshall County,2579.1
Wisconsin,Grant County,2580.4
Kentucky,Marshall County,2581.1
Minnesota,Pine County,2582.2
Virginia,Lee County,2582.6
West Virginia,Mason County,2590.3
Florida,Wakulla County,2601.5
Virginia,Carroll County,2602.7
Montana,Lake County,2606
Wyoming,Fremont County,2607.6
Maine,Lincoln County,2608.6
Minnesota,Isanti County,2608.8
Wisconsin,Pierce County,2608.9
North Carolina,Alexander County,2613.7
Tennessee,Giles County,2616.1
Oklahoma,Caddo County,2618.6
Virginia,Harrisonburg City,2627.9
Michigan,Oceana County,2636.3
Ohio,Carroll County,2636.7
Mississippi,Marion County,2639.8
Arkansas,Hot Spring County,2642.4
West Virginia,Nicholas County,2643
Michigan,Iosco County,2646.1
Alabama,Cherokee County,2647.1
Iowa,Webster County,2647.4
Mississippi,Tate County,2647.8
Virginia,Dinwiddie County,2649.3
Illinois,Livingston County,2652.9
North Carolina,Bladen County,2655.4
Indiana,Steuben County,2657
Michigan,Wexford County,2660.8
Texas,Hill County,2666.2
Tennessee,Marion County,2668.2
Virginia,Scott County,2669
Ohio,Adams County,2671.3
Georgia,Oconee County,2672.1
Tennessee,Lauderdale County,2674.4
Kentucky,Clark County,2679.7
Virginia,Wythe County,2685.3
Vermont,Bennington County,2685.9
Illinois,Monroe County,2692.2
Arkansas,Independence County,2693.9
Virginia,Pulaski County,2696.7
Florida,Washington County,2697.8
Louisiana,Lincoln Parish,2700.8
Georgia,Wayne County,2703.9
Virginia,Russell County,2704.2
Mississippi,Pontotoc County,2705
Minnesota,Benton County,2709.6
Missouri,Lawrence County,2715.2
Virginia,Smyth County,2716
Nebraska,Adams County,2716.5
Texas,Jim Wells County,2719
South Dakota,Brown County,2721.2
New Mexico,San Miguel County,2723
Minnesota,Morrison County,2723.5
Kentucky,Carter County,2723.8
Ohio,Morrow County,2723.8
Minnesota,Mower County,2725.9
New Mexico,Cibola County,2731.4
South Carolina,Union County,2734.2
Indiana,Greene County,2736.8
North Dakota,Morton County,2738.2
Louisiana,Evangeline Parish,2742
Ohio,Van Wert County,2759.8
Tennessee,Dyer County,2761.2
Colorado,Garfield County,2762.3
Pennsylvania,Clinton County,2766.1
Tennessee,Hardin County,2770.8
Utah,Iron County,2782
Kentucky,Calloway County,2783.1
Texas,Atascosa County,2792
Ohio,Mercer County,2793.6
Tennessee,Claiborne County,2795.2
Kentucky,Harlan County,2798.7
Virginia,Botetourt County,2800.8
North Carolina,Person County,2805.1
West Virginia,Randolph County,2814.2
South Carolina,Marlboro County,2818.2
Virginia,Caroline County,2820.3
Oklahoma,Mccurtain County,2830.5
Tennessee,Obion County,2832.9
Kentucky,Scott County,2835.5
Iowa,Lee County,2840.5
Florida,Baker County,2840.9
Alabama,Lawrence County,2841.2
Arizona,Graham County,2845.1
New York,Seneca County,2846.3
Nebraska,Dodge County,2854.4
Virginia,Warren County,2855.9
Pennsylvania,Tioga County,2857.3
Michigan,Huron County,2858.5
Wisconsin,Oconto County,2861.4
Indiana,Wabash County,2861.7
South Carolina,Jasper County,2866
Missouri,Lafayette County,2872.7
Nevada,Churchill County,2877.5
Maryland,Garrett County,2877.8
Wisconsin,Dunn County,2878.3
South Carolina,Marion County,2880.3
Texas,Brown County,2882.1
Maine,Waldo County,2882.3
West Virginia,Mingo County,2888.6
Minnesota,Carlton County,2888.9
Washington,Douglas County,2891.6
Indiana,Cass County,2892.8
North Carolina,Transylvania County,2909.3
Texas,Caldwell County,2911.3
Texas,Waller County,2923.1
Maine,Washington County,2926.6
Pennsylvania,Clarion County,2928.8
Oklahoma,Lincoln County,2930.1
Oregon,Clatsop County,2934.9
Florida,Bradford County,2937.8
West Virginia,Boone County,2938.8
Michigan,Chippewa County,2943.5
Pennsylvania,Snyder County,2960.2
Alabama,Geneva County,2962.7
Illinois,Franklin County,2964.1
Missouri,Phelps County,2967.4
Ohio,Champaign County,2968.1
Tennessee,Henry County,2970.5
Missouri,Webster County,2973.6
North Carolina,Pasquotank County,2977.7
Kansas,Cowley County,2978.8
Iowa,Jasper County,2980
Washington,Jefferson County,2986
Virginia,Petersburg City,2996.9
Indiana,Dubois County,3003.9
Louisiana,Natchitoches Parish,3008.2
Pennsylvania,Mckean County,3008.7
Virginia,Gloucester County,3011.5
Illinois,Marion County,3012.9
Mississippi,Adams County,3014.9
Indiana,Marshall County,3017.9
West Virginia,Marshall County,3029.4
Illinois,Grundy County,3030.7
West Virginia,Jackson County,3032.2
Minnesota,Goodhue County,3035.2
Maine,Sagadahoc County,3044.4
Washington,Kittitas County,3045.7
Tennessee,Henderson County,3045.9
Virginia,Louisa County,3046.5
Wisconsin,Oneida County,3047.5
Michigan,Gratiot County,3049.7
Ohio,Shelby County,3054.7
Missouri,Callaway County,3054.9
Texas,Jasper County,3054.9
Missouri,Pettis County,3055.3
Missouri,Johnson County,3066.1
Mississippi,Neshoba County,3068
Pennsylvania,Greene County,3071.4
Louisiana,Beauregard Parish,3072.5
Indiana,Montgomery County,3074.7
Louisiana,Iberville Parish,3075.2
Virginia,Accomack County,3077.5
Alabama,Pike County,3078.6
West Virginia,Mineral County,3078.9
Missouri,Stone County,3079
Georgia,Gilmer County,3080.1
Tennessee,Lawrence County,3084.4
Indiana,Knox County,3090.9
Ohio,Fayette County,3091
Pennsylvania,Huntingdon County,3091.2
Georgia,Sumter County,3093.6
Kentucky,Shelby County,3093.7
Montana,Silver Bow County,3097.6
Ohio,Ottawa County,3098.3
Virginia,Prince George County,3100.8
Wisconsin,Monroe County,3101.7
Maryland,Talbot County,3108.1
North Carolina,Davie County,3114.3
Iowa,Des Moines County,3116.1
Tennessee,Cheatham County,3117.6
Nebraska,Scotts Bluff County,3121.4
Iowa,Marshall County,3124
Colorado,La Plata County,3124.1
West Virginia,Hancock County,3124.2
Michigan,Sanilac County,3126.7
Kansas,Montgomery County,3128.4
Missouri,Stoddard County,3134.9
California,Siskiyou County,3136.7
Texas,Lamar County,3142.6
Georgia,Baldwin County,3144.3
Virginia,Isle Of Wight County,3157.9
Indiana,Miami County,3159.6
Missouri,Dunklin County,3162.6
Wisconsin,Douglas County,3167.2
Texas,Medina County,3172
Nebraska,Lincoln County,3173
Virginia,Orange County,3174.9
Illinois,Henry County,3180.2
Mississippi,Alcorn County,3192.4
Maine,Knox County,3204.6
Illinois,Coles County,3212.4
Georgia,Ware County,3217.3
Washington,Stevens County,3219.2
Alabama,Chambers County,3220
Indiana,Dekalb County,3227.1
Illinois,Stephenson County,3242.6
Illinois,Ogle County,3259.3
Mississippi,Scott County,3261.7
Georgia,Pickens County,3263.2
Texas,Wharton County,3267.4
Kansas,Riley County,3268.3
Ohio,Logan County,3268.9
Ohio,Gallia County,3269.7
Nevada,Elko County,3271.9
Illinois,Boone County,3276
Iowa,Muscatine County,3277.3
Tennessee,Warren County,3282.6
North Carolina,Cherokee County,3286.9
Missouri,Howell County,3290.9
Ohio,Fulton County,3293.2
Utah,Box Elder County,3297.2
Texas,Matagorda County,3297.6
Kentucky,Greenup County,3298.3
New Hampshire,Coos County,3298.3
Oklahoma,Bryan County,3300.3
Pennsylvania,Warren County,3302.4
Michigan,Mecosta County,3305.4
Michigan,Clare County,3315.4
Arkansas,Boone County,3318.2
North Carolina,Watauga County,3321.7
Ohio,Coshocton County,3322.9
Oklahoma,Pittsburg County,3327.2
Louisiana,Vernon Parish,3329.5
Minnesota,Clay County,3335.1
Kentucky,Whitley County,3351
Michigan,Hillsdale County,3353.7
Kentucky,Graves County,3358.5
Oklahoma,Pontotoc County,3360.2
Oklahoma,Okmulgee County,3362.5
Missouri,Barry County,3363.6
Wisconsin,Barron County,3365.5
California,Amador County,3375.1
Ohio,Clinton County,3384.3
Texas,Kendall County,3386.1
Texas,Wilson County,3392.4
Ohio,Pike County,3399.6
New York,Essex County,3404.6
Tennessee,Dickson County,3405.6
Georgia,Habersham County,3417.1
Indiana,Huntington County,3423.2
Minnesota,Winona County,3424.9
Indiana,Dearborn County,3426
Indiana,Henry County,3427.7
New York,Wyoming County,3431.5
Nebraska,Buffalo County,3433.3
New York,Cortland County,3437
Mississippi,Marshall County,3437.9
Colorado,Montrose County,3447.6
Oklahoma,Kay County,3457.2
California,Calaveras County,3464.6
North Carolina,Vance County,3464.7
Montana,Ravalli County,3465.8
Texas,Burnet County,3474
Idaho,Bonner County,3474.2
North Carolina,Macon County,3475.4
Louisiana,Avoyelles Parish,3475.5
Wisconsin,Calumet County,3478.9
Indiana,Harrison County,3485.9
Georgia,Coffee County,3488.6
Georgia,Colquitt County,3494.7
Pennsylvania,Union County,3506.6
Minnesota,Beltrami County,3507.7
Tennessee,Campbell County,3512.6
New York,Delaware County,3514.7
Mississippi,Panola County,3515.6
Louisiana,St. John The Baptist Parish,3521.2
Kentucky,Jessamine County,3524.6
South Dakota,Lincoln County,3535.8
Pennsylvania,Susquehanna County,3540
West Virginia,Preston County,3542
Virginia,Shenandoah County,3549.5
North Carolina,Yadkin County,3550.8
New Mexico,Curry County,3561.4
Texas,Starr County,3561.5
Virginia,Amherst County,3566.6
Rhode Island,Bristol County,3571
Mississippi,Bolivar County,3576.4
Mississippi,Oktibbeha County,3578
South Carolina,Newberry County,3583.3
Texas,Wood County,3593.5
Iowa,Wapello County,3593.7
Tennessee,Bedford County,3600.3
Ohio,Williams County,3605.1
Tennessee,Franklin County,3605.9
Arkansas,Union County,3606
Illinois,Knox County,3607.6
Vermont,Washington County,3608.6
Wisconsin,Polk County,3610.1
Kentucky,Nelson County,3616.6
Illinois,Macoupin County,3617.5
Ohio,Defiance County,3618.5
Pennsylvania,Mifflin County,3629.1
Texas,Rusk County,3630.6
New Hampshire,Sullivan County,3638.7
Indiana,Noble County,3641
New York,Orleans County,3643.7
Kentucky,Barren County,3648.2
Michigan,Newaygo County,3662.9
Oklahoma,Stephens County,3663.9
Vermont,Franklin County,3665.6
New York,Greene County,3667.3
Alabama,Chilton County,3677.1
Louisiana,Webster Parish,3679.4
Maryland,Caroline County,3683
South Carolina,Clarendon County,3684.9
Ohio,Guernsey County,3693.8
Iowa,Clinton County,3696.8
Mississippi,Lafayette County,3699
Arkansas,Baxter County,3700.3
Ohio,Jackson County,3702.4
Kentucky,Muhlenberg County,3713
Missouri,Butler County,3722
Louisiana,St. Charles Parish,3723.8
Michigan,Delta County,3729.4
Ohio,Madison County,3730.9
Oklahoma,Washington County,3731.6
Washington,Okanogan County,3731.6
Georgia,Murray County,3737.2
Arizona,Santa Cruz County,3741.1
New York,Allegany County,3767.3
Indiana,Putnam County,3773.5
Montana,Gallatin County,3774
Florida,Hendry County,3776.1
Idaho,Bingham County,3776.2
Indiana,Lawrence County,3780.8
Illinois,Jackson County,3787.7
Virginia,Halifax County,3792.4
Kentucky,Floyd County,3801.5
Louisiana,St. Bernard Parish,3805.3
South Carolina,Chester County,3808.8
Colorado,Broomfield County,3810.2
Minnesota,Chisago County,3811.2
Wisconsin,Columbia County,3811.5
Mississippi,Monroe County,3817.3
New Mexico,Rio Arriba County,3817.6
Pennsylvania,Perry County,3823.2
North Carolina,Jackson County,3829.6
Vermont,Windsor County,3836
Ohio,Auglaize County,3844.9
North Carolina,Richmond County,3847.1
Minnesota,Otter Tail County,3847.2
Iowa,Warren County,3849.3
California,San Benito County,3849.5
Mississippi,Lincoln County,3849.7
Maine,Hancock County,3857
Michigan,Branch County,3860.3
Alabama,Autauga County,3861.8
Texas,Coryell County,3863.5
North Carolina,Scotland County,3864.8
Maryland,Queen Annes County,3870.4
Tennessee,Cocke County,3873.9
Ohio,Brown County,3881.9
Ohio,Union County,3884.7
Ohio,Highland County,3885.8
West Virginia,Greenbrier County,3889.1
Wisconsin,Shawano County,3893.1
North Carolina,Hoke County,3898.6
Ohio,Crawford County,3899.3
Pennsylvania,Bedford County,3901
West Virginia,Ohio County,3901.9
North Carolina,Lenoir County,3904.4
Florida,Okeechobee County,3912.9
Mississippi,Hancock County,3915.2
Georgia,Harris County,3919.3
Idaho,Nez Perce County,3932.1
Arkansas,Mississippi County,3941
New York,Chenango County,3944.2
Colorado,Fremont County,3952.4
Iowa,Cerro Gordo County,3960.1
Ohio,Preble County,3969.9
Georgia,Polk County,3972.1
Alaska,Kenai Peninsula Borough,3986.2
Nevada,Douglas County,4001.8
Alabama,Tallapoosa County,4003.5
Georgia,Camden County,4007.7
Minnesota,Blue Earth County,4020.2
Oklahoma,Logan County,4032.5
Kentucky,Franklin County,4038
Missouri,Scott County,4040.9
Tennessee,Fayette County,4048.4
Ohio,Ashland County,4049.4
Georgia,Thomas County,4049.5
Louisiana,Vermilion Parish,4057.1
Texas,Anderson County,4058.4
South Carolina,Cherokee County,4063.5
Indiana,Jackson County,4090.9
North Carolina,Beaufort County,4104
Virginia,Danville City,4105.4
Virginia,Mecklenburg County,4108.3
Florida,Desoto County,4121
Michigan,Tuscola County,4121.1
Georgia,Liberty County,4122.4
Georgia,Tift County,4125
New Hampshire,Carroll County,4137.1
Oklahoma,Sequoyah County,4137.3
North Carolina,Granville County,4141.9
Oklahoma,Delaware County,4142.3
Michigan,Cass County,4144.4
Oklahoma,Carter County,4149.6
California,Tehama County,4156.5
Missouri,Lincoln County,4170.6
Indiana,Shelby County,4172.1
Virginia,Tazewell County,4173.8
Alabama,Covington County,4187.4
Missouri,Camden County,4195.5
Alabama,Dallas County,4236.2
Maryland,Dorchester County,4249.5
Virginia,Wise County,4253.2
Wisconsin,Portage County,4259
Mississippi,Warren County,4268.6
Louisiana,St. Martin Parish,4275.7
Kentucky,Henderson County,4278.1
Washington,Walla Walla County,4278.2
Ohio,Darke County,4283.1
Wisconsin,Chippewa County,4288.6
Pennsylvania,Jefferson County,4292.8
North Dakota,Ward County,4302.1
Texas,Cherokee County,4321.5
Michigan,Marquette County,4338.9
Texas,Hardin County,4344.4
West Virginia,Logan County,4351.2
Iowa,Dallas County,4353.7
Ohio,Huron County,4366.9
Arkansas,Miller County,4369.2
Wisconsin,Sauk County,4371.2
Virginia,Lynchburg City,4371.6
Kentucky,Oldham County,4376.7
North Carolina,Mcdowell County,4381.9
Texas,Navarro County,4383.9
Nebraska,Hall County,4384.3
Alabama,Escambia County,4394.2
Arkansas,Crittenden County,4394.4
Texas,Van Zandt County,4399.4
Tennessee,Monroe County,4409.6
Oklahoma,Osage County,4418.1
Oklahoma,Garfield County,4421.6
California,Yuba County,4432.6
South Carolina,Colleton County,4438.9
Michigan,Isabella County,4447.3
North Dakota,Grand Forks County,4450.7
Georgia,Jackson County,4458.4
Oregon,Columbia County,4458.4
Oklahoma,Grady County,4458.8
California,Tuolumne County,4467.3
Wisconsin,Waupaca County,4481.8
North Carolina,Stokes County,4484.5
Indiana,Boone County,4491.5
Pennsylvania,Columbia County,4491.8
New York,Warren County,4495.3
Texas,Kerr County,4505.6
New York,Tioga County,4514.8
Ohio,Pickaway County,4527.1
Texas,Harrison County,4554.5
Mississippi,Pike County,4556.9
Oklahoma,Cherokee County,4561.8
North Carolina,Edgecombe County,4564.5
West Virginia,Jefferson County,4572.7
Illinois,Whiteside County,4575.8
Michigan,Shiawassee County,4582.9
New Mexico,Chaves County,4584.5
Pennsylvania,Wayne County,4586.2
Vermont,Rutland County,4596.5
North Carolina,Lee County,4602.8
Utah,Tooele County,4606.6
Pennsylvania,Pike County,4626
Virginia,York County,4632.8
Alabama,Jackson County,4641
Nevada,Nye County,4645.8
South Carolina,Williamsburg County,4648.2
Virginia,Culpeper County,4668.5
Kansas,Saline County,4671.5
Tennessee,Loudon County,4674.3
Minnesota,Itasca County,4688.8
Minnesota,Rice County,4696.4
Oregon,Klamath County,4697.6
Nevada,Carson City,4710.2
Alabama,Coffee County,4713
Florida,Suwannee County,4718.7
Virginia,Fauquier County,4722
Wyoming,Natrona County,4726.8
Illinois,Vermilion County,4727.3
Georgia,Spalding County,4731.1
Virginia,Franklin County,4732.8
Missouri,Taney County,4747.5
New York,Livingston County,4751.6
New York,Otsego County,4780.9
Oregon,Lincoln County,4793
North Carolina,Pender County,4803.5
Michigan,Barry County,4804.6
Nevada,Lyon County,4807.2
Oklahoma,Le Flore County,4809
Illinois,Adams County,4809.6
Alabama,Colbert County,4821.1
Missouri,St. Francois County,4833.5
Alaska,Fairbanks North Star Borough,4840.5
New York,Fulton County,4868.5
Michigan,Midland County,4873.8
Michigan,Montcalm County,4887.7
Oklahoma,Mayes County,4891.8
Tennessee,Tipton County,4901.5
Arkansas,Greene County,4908
New York,Washington County,4916.8
California,Lake County,4923.2
New York,Columbia County,4925
West Virginia,Marion County,4938.1
Massachusetts,Franklin County,4940.4
Mississippi,Washington County,4945.3
Pennsylvania,Venango County,4965.7
Pennsylvania,Bradford County,4973.4
Maine,Oxford County,4984.1
Texas,Nacogdoches County,4996.8
Missouri,Newton County,5003.3
Montana,Lewis And Clark County,5010.3
Ohio,Knox County,5016.1
Oregon,Benton County,5018.2
New York,Montgomery County,5018.6
West Virginia,Wayne County,5019.1
Oklahoma,Payne County,5021.8
New Mexico,Eddy County,5024.2
Alabama,Blount County,5043.5
Wisconsin,Jefferson County,5051.8
Virginia,Washington County,5067.3
Indiana,Floyd County,5081.6
Indiana,Wayne County,5084.5
Tennessee,Jefferson County,5085.9
Georgia,Gordon County,5116.2
Mississippi,Lowndes County,5120.2
Ohio,Seneca County,5136.4
Georgia,Effingham County,5138.3
Louisiana,Washington Parish,5138.3
Georgia,Laurens County,5144.3
Iowa,Story County,5147.3
North Carolina,Halifax County,5163
Ohio,Sandusky County,5164.4
Pennsylvania,Carbon County,5167.7
Michigan,St. Joseph County,5169.8
Tennessee,Gibson County,5180.4
Florida,Levy County,5182.6
Louisiana,St. Mary Parish,5187
Kentucky,Hopkins County,5192
Maine,Somerset County,5235.5
South Carolina,Chesterfield County,5236.9
New York,Genesee County,5244
Georgia,Catoosa County,5255.3
New York,Tompkins County,5260.2
New York,Herkimer County,5260.6
Tennessee,Hawkins County,5262.9
Minnesota,Crow Wing County,5279.4
Oklahoma,Creek County,5283.2
Texas,Walker County,5285.1
Texas,Maverick County,5286.2
New Mexico,Otero County,5290
Arizona,Gila County,5293.6
Ohio,Washington County,5297.7
New York,Franklin County,5317.4
Kansas,Butler County,5337.1
Indiana,Warrick County,5348.4
Washington,Franklin County,5349.9
New Hampshire,Belknap County,5358
Wisconsin,Ozaukee County,5361.8
Texas,Liberty County,5364.1
Tennessee,Roane County,5366.4
New Hampshire,Cheshire County,5380.7
Ohio,Athens County,5383
Florida,Monroe County,5384
Virginia,Campbell County,5404.9
Hawaii,Kauai County,5421.8
Washington,Chelan County,5426.9
Arkansas,Pope County,5434.9
New Mexico,Valencia County,5442.3
Montana,Flathead County,5444.7
North Carolina,Columbus County,5466.8
Tennessee,Anderson County,5473.1
Texas,Wise County,5485.7
New York,Madison County,5486
Michigan,Ionia County,5507
North Carolina,Duplin County,5513
Mississippi,Lamar County,5526.5
Mississippi,Pearl River County,5527.8
North Carolina,Stanly County,5531
Wisconsin,Manitowoc County,5542.5
Arkansas,Crawford County,5562.2
North Dakota,Burleigh County,5567.6
Rhode Island,Newport County,5568.1
Montana,Missoula County,5571.6
Tennessee,Coffee County,5586.4
Wisconsin,Eau Claire County,5600.4
Alabama,Walker County,5608
New York,Sullivan County,5613.8
Tennessee,Robertson County,5619.5
Missouri,Christian County,5625.5
Kentucky,Christian County,5641.5
Texas,Rockwall County,5642
Minnesota,Sherburne County,5654.5
Louisiana,Acadia Parish,5660.1
New Jersey,Salem County,5660.2
North Carolina,Wilkes County,5660.5
Oregon,Umatilla County,5667.1
Georgia,Troup County,5667.4
West Virginia,Putnam County,5704.8
Virginia,Frederick County,5706.6
Florida,Jackson County,5721
Alabama,Dale County,5726.4
Kentucky,Laurel County,5734.6
Georgia,Barrow County,5757.6
North Carolina,Chatham County,5757.6
Illinois,Williamson County,5761.8
Maryland,Worcester County,5770.9
Pennsylvania,Armstrong County,5781.4
Pennsylvania,Crawford County,5793.9
New York,Putnam County,5796.6
Missouri,Cole County,5797.2
New Mexico,Lea County,5798.8
Washington,Mason County,5827.2
Alabama,Russell County,5844.3
North Carolina,Rutherford County,5875.8
Texas,Hood County,5897.4
Idaho,Bannock County,5906.2
Kentucky,Boyd County,5934.4
Tennessee,Hamblen County,5940.9
Pennsylvania,Indiana County,5941.4
Louisiana,Iberia Parish,5963.3
New Hampshire,Grafton County,5968.5
California,Mendocino County,5975.5
Alabama,Dekalb County,5994.1
